Wavelength,n,k
1920,2.72375,9.64639
1922,2.72422,9.65806
1924,2.72469,9.66973
1926,2.72516,9.68139
1928,2.72563,9.69306
1930,2.7261,9.70473
1932,2.72657,9.7164
1934,2.72704,9.72806
1936,2.72751,9.73973
1938,2.72799,9.7514
1940,2.72852,9.76309
1942,2.72906,9.77478
1944,2.7296,9.78647
1946,2.73014,9.79816
1948,2.73067,9.80985
1950,2.73121,9.82154
1952,2.73175,9.83323
1954,2.73228,9.84492
1956,2.73282,9.85661
1958,2.73336,9.8683
1960,2.7339,9.87999
1962,2.73443,9.89168
1964,2.73497,9.90337
1966,2.73551,9.91506
1968,2.73605,9.92675
1970,2.73664,9.93845
1972,2.73725,9.95016
1974,2.73786,9.96187
1976,2.73847,9.97358
1978,2.73908,9.98529
1980,2.73969,9.997
1982,2.7403,10.00871
1984,2.74091,10.02042
1986,2.74152,10.03213
1988,2.74212,10.04384
1990,2.74273,10.05555
1992,2.74334,10.06726
1994,2.74395,10.07897
1996,2.74456,10.09068
1998,2.74517,10.10239
2000,2.74578,10.1141
